# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       56.012     3139.910
       0.200       26.183      179.996     3480.922
       0.401       27.425      292.754     4179.992
       0.602       24.525      321.629     4179.992
       0.802       32.008      370.926     4183.992
       1.002       27.433      381.707     4185.992
       1.203       19.958      391.891     4252.996
       1.403       20.367      400.527     4582.016
       1.604       28.683      411.586     5041.051
       1.804       45.708      429.785     5435.086
       2.005       43.217      441.012     5965.434
       2.206       41.942      450.883     6299.570
       2.406       34.492      459.922     6366.574
       2.607       40.317      476.258     6435.848
       2.807       27.017      483.594     6439.848
       3.008       27.008      487.188     6634.859
       3.208       26.600      490.488     6636.996
       3.409       19.950      497.121     6710.715
       3.609       25.767      501.922     6710.715
       3.810       20.358      510.148     6714.715
       4.010       28.258      535.434     6781.719
       4.211       33.675      542.195     6785.449
       4.411       37.408      544.258     6785.449
       4.612       32.417      549.094     6789.449
       4.812       19.950      555.164     6793.449
       5.013       22.858      559.371     6795.449
       5.213       20.367      564.074     6862.453
       5.414       24.517      567.992     6930.457
       5.614       18.292      571.441     6932.457
       5.815       29.925      575.715     7064.465
       6.015       35.733      578.215     7064.465
       6.216       28.258      580.125     7066.465
       6.416       33.233      581.434     7196.473
       6.617       30.325      585.695     7263.477
       6.818       14.958      587.539     7263.477
       7.018        7.475      587.586     7263.477
       7.219        0.000      587.586     7263.477
       7.420        0.000      587.586     7263.477
       7.622        0.000      587.586     7263.477
       7.823       23.650      589.230     7462.488
       8.023       66.917      593.188     7462.488
       8.224       68.567      596.730     7464.488
       8.424       66.475      598.805     7464.488
       8.625       66.883      602.184     7464.488
       8.825       66.467      604.109     7466.488
       9.026       65.650      605.641     7466.488
       9.227       66.467      607.789     7466.488
       9.427       64.400      610.676     7466.488
       9.628       60.650      613.195     7466.488
       9.828       62.300      615.961     7466.488
      10.029       56.492      618.336     7466.488
      10.230       55.267      618.980     7466.488
      10.430       15.375      618.980     7466.488
      10.631        0.417      618.980     7466.488
      10.832        0.000      618.980     7466.488
      11.033        0.417      618.910     7466.488
      11.234        0.000      618.910     7466.488
