# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       48.961    35932.605
       0.201       19.942      118.836    36070.613
       0.401       26.167      202.496    36655.684
       0.602       22.433      283.043    36655.684
       0.802       30.333      312.285    36721.688
       1.003       34.075      357.820    36721.688
       1.204       32.808      378.777    36786.691
       1.404       32.000      390.621    36789.695
       1.604       23.292      397.199    36791.695
       1.805       17.867      402.766    36793.695
       2.005       24.517      408.492    37445.734
       2.206       33.650      416.906    37447.734
       2.407       32.000      433.230    37579.750
       2.607       40.308      441.742    38044.840
       2.808       47.350      447.609    38241.852
       3.008       49.025      459.418    38375.859
       3.209       53.175      475.207    38706.996
       3.410       38.233      486.012    38772.133
       3.610       40.708      491.473    38839.137
       3.811       37.808      497.156    39038.422
       4.012       32.317      504.293    39038.555
       4.212       37.808      508.867    39105.559
       4.413       33.233      515.531    39107.691
       4.614       33.650      516.699    39107.691
       4.814       26.167      523.938    39114.543
       5.015       34.483      529.215    39179.547
       5.215       36.975      542.820    39182.234
       5.416       29.500      545.914    39184.234
       5.616       26.617      562.262    39184.234
       5.817       26.175      578.191    39186.234
       6.018       29.917      581.387    39254.238
       6.218       39.467      586.129    39254.504
       6.419       37.383      588.773    39256.504
       6.619       33.225      597.031    39258.504
       6.820       23.267      601.320    39262.504
       7.020       31.183      604.594    39264.504
       7.221       30.333      608.703    39264.504
       7.422       27.842      611.582    39396.512
       7.622       34.067      614.086    39398.512
       7.823       34.900      620.562    39398.512
       8.023       23.683      622.695    39400.512
       8.224       28.258      628.742    39400.512
       8.424       36.150      630.695    39532.520
       8.625       42.783      632.980    39532.520
       8.826       34.475      634.977    39534.520
       9.026       38.200      636.559    39729.531
       9.227       38.217      641.414    39729.531
       9.428       37.375      644.070    39729.531
       9.628       30.725      654.078    39731.941
       9.829        7.883      654.785    39731.941
      10.030        0.000      654.785    39731.941
      10.231        0.000      654.785    39731.941
      10.432        0.000      654.785    39731.941
      10.633        0.417      654.785    39731.941
      10.834       47.725      656.676    39928.953
      11.035       67.300      664.332    39930.953
      11.235       67.692      669.141    39932.953
      11.436       67.292      671.820    39932.953
      11.638       65.283      675.566    39932.953
      11.839       66.842      677.363    39932.953
      12.039       65.225      681.875    39933.086
      12.240       66.875      683.480    39933.086
      12.440       66.025      684.852    39933.086
      12.641       66.817      685.922    39933.086
      12.842       65.558      686.980    39933.086
      13.043       63.925      693.672    39933.086
      13.243       65.183      694.727    39935.086
      13.445       64.475      696.949    39935.086
      13.646       62.667      701.703    39935.086
      13.847       57.292      702.746    39935.086
      14.048       54.200      706.324    39935.086
      14.249       38.600      707.406    39935.086
      14.450        1.242      707.465    39935.086
      14.651        0.000      707.465    39935.086
      14.851        0.833      707.465    39935.086
      15.052        0.417      707.465    39935.086
