# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       57.062     3139.910
       0.200       29.100      184.035     4070.992
       0.401       29.508      284.621     4179.992
       0.601       30.758      324.383     4179.992
       0.802       31.175      365.719     4183.992
       1.002       26.200      378.066     4250.996
       1.203       21.200      388.223     4252.996
       1.403       19.533      394.156     4647.020
       1.604       31.592      413.086     5039.051
       1.804       41.975      421.969     5435.086
       2.005       45.300      431.648     6094.441
       2.205       41.975      444.098     6234.566
       2.406       34.492      459.254     6236.566
       2.606       29.933      466.824     6564.586
       2.807       28.258      469.594     6566.586
       3.007       27.008      474.473     6573.574
       3.208       18.292      479.965     6640.578
       3.408       27.017      485.445     6642.441
       3.609       21.617      492.703     6646.441
       3.809       32.417      515.664     6646.441
       4.010       32.417      518.832     6713.445
       4.210       41.583      521.570     6908.457
       4.411       20.767      523.344     7038.465
       4.612        0.000      523.344     7038.465
       4.813        0.833      523.574     7038.465
       5.013        4.567      524.461     7040.465
       5.215        0.000      524.461     7040.465
       5.416        0.000      524.461     7040.465
       5.617        0.000      524.461     7040.465
       5.818        0.000      524.461     7040.465
       6.019       42.742      528.340     7237.477
       6.220       64.408      532.168     7304.480
       6.420       64.408      534.848     7304.480
       6.621       63.575      537.875     7304.480
       6.822       64.808      541.812     7304.480
       7.022       65.225      544.719     7304.480
       7.223       60.292      547.492     7304.480
       7.423       51.117      550.641     7304.480
       7.624        3.733      550.641     7304.480
       7.825        0.000      550.641     7304.480
       8.026        0.825      550.641     7304.480
       8.227        1.242      550.695     7304.480
