# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       21.887      130.953
       0.201        4.975       29.691      226.371
       0.402        0.000       29.691      226.371
       0.603        0.000       29.691      226.371
       0.804        0.000       29.691      226.371
       1.005        0.000       29.691      226.371
       1.205        4.150       30.105      578.637
       1.406       12.458       30.465      586.641
       1.607       12.050       30.602      586.891
       1.807       13.292       30.684      650.891
       2.008       12.883       30.668      642.887
       2.208       12.883       30.656      650.891
       2.409       12.467       30.691      642.887
       2.609       12.883       30.887      642.887
       2.810       12.467       30.863      642.887
       3.010       12.883       30.840      642.887
       3.211       12.883       30.840      642.887
       3.412       12.883       30.824      650.891
       3.612       12.883       30.781      642.887
       3.813       12.883       31.016      642.887
       4.013       12.883       30.992      642.887
       4.214       12.883       30.977      650.891
       4.414       12.883       30.906      642.887
       4.615       12.850       30.895      642.887
       4.816       12.883       30.883      650.891
       5.016       12.467       30.883      650.891
       5.217       12.883       31.102      642.887
       5.417       13.308       31.102      650.891
       5.618       12.883       31.039      642.887
       5.818       12.467       31.066      650.891
       6.019       12.467       31.043      650.891
       6.219       13.300       31.020      650.891
       6.420       12.883       30.957      658.895
       6.620       12.883       31.219      650.891
       6.821       12.883       31.180      650.891
       7.021       12.475       31.125      642.887
       7.222       12.467       31.109      651.141
       7.422       12.883       31.125      651.141
       7.623       12.867       31.094      643.137
       7.824        2.492       31.082      635.133
       8.025        0.000       31.082      635.133
       8.226        0.000       31.082      635.133
       8.426        0.000       31.082      635.133
       8.627        0.000       31.082      635.133
