# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       33.230     2697.578
       0.201       22.850      126.961     3037.621
       0.401       20.367      176.215     3093.621
       0.602       18.292      227.070     3215.629
       0.802       16.617      271.812     3263.629
       1.003       34.900      318.469     3412.688
       1.203       34.900      364.918     3554.840
       1.404       31.158      380.570     3559.840
       1.605       27.417      392.117     3627.840
       1.805       17.450      400.391     3892.855
       2.006       23.675      409.059     4414.918
       2.207        9.958      410.727     4414.918
       2.408        0.000      410.727     4414.918
       2.609        0.000      410.727     4414.918
       2.810        0.000      410.727     4414.918
       3.011        0.000      410.727     4414.918
       3.212       38.592      412.820     4612.930
       3.413       62.725      415.656     4679.934
       3.613       56.050      419.500     4811.949
       3.814       66.433      421.301     4811.949
       4.015       65.625      423.762     4812.949
       4.215       65.608      425.367     4812.949
       4.416       63.975      427.945     4813.949
       4.617       64.775      429.492     4813.949
       4.817       62.700      433.543     4816.949
       5.018       58.542      433.801     4816.949
       5.219       56.050      433.992     4816.949
       5.420       37.783      438.691     4821.949
       5.620        0.417      438.691     4821.949
       5.821        0.000      438.691     4821.949
       6.023        0.000      438.691     4821.949
       6.224        0.000      438.691     4821.949
