# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       54.992    35424.387
       0.200       27.433      180.684    35686.406
       0.401       19.533      227.238    35688.406
       0.602       20.775      302.672    35690.543
       0.802       18.708      319.777    35694.543
       1.002       29.525      352.891    36092.625
       1.203       12.050      371.379    36096.625
       1.403       14.542      387.207    36427.656
       1.604        0.000      387.207    36427.656
       1.805        0.000      387.207    36427.656
       2.006        0.417      387.461    36427.656
       2.207       21.583      401.641    36825.820
       2.408       20.783      411.555    36827.820
       2.608        0.000      411.555    36827.820
       2.810        0.000      411.555    36827.820
       3.011        0.000      411.555    36827.820
       3.212        0.000      411.555    36827.820
       3.413        2.075      411.523    36893.828
       3.613       53.625      415.754    37090.109
       3.814       62.333      422.785    37092.109
       4.014       63.975      429.066    37092.109
       4.215       59.833      435.891    37092.109
       4.415       61.075      439.766    37092.109
       4.616       55.258      443.805    37094.109
       4.816       58.150      445.289    37094.109
       5.017       54.017      449.047    37094.246
       5.218       45.708      449.562    37094.246
       5.418        0.417      449.562    37094.246
       5.619        0.000      449.562    37094.246
       5.820        0.000      449.562    37094.246
       6.021        0.000      449.562    37094.246
