# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       47.785     2743.609
       0.201       22.433      125.867     3033.621
       0.401       20.783      176.656     3164.629
       0.602       27.008      240.398     3375.688
       0.802       34.050      286.680     4192.777
       1.003       27.833      327.312     4194.777
       1.204        7.875      346.820     4259.781
       1.405        0.000      346.820     4259.781
       1.606        0.000      346.820     4259.781
       1.807        0.000      346.820     4259.781
       2.008       14.108      352.000     4393.793
       2.209       63.517      355.605     4458.797
       2.409       66.850      366.785     4461.797
       2.610       66.350      368.074     4461.797
       2.811       67.725      372.215     4463.797
       3.011       66.008      373.504     4463.797
       3.213       60.033      376.801     4465.797
       3.413       30.325      377.570     4465.797
       3.614       16.208      379.633     4467.797
       3.815        2.492      379.891     4467.797
       4.016        0.000      379.891     4467.797
       4.217        0.000      379.891     4467.797
