# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       55.004    35424.602
       0.200       23.275      141.426    35686.406
       0.401       29.092      233.871    35952.473
       0.601       24.108      294.129    36478.531
       0.802        0.000      294.129    36478.531
       1.003        7.050      307.051    36545.539
       1.204        6.225      316.711    36547.539
       1.405        0.000      316.711    36547.539
       1.606        0.000      316.711    36547.539
       1.807        0.000      316.711    36547.539
       2.007        0.000      316.711    36547.539
       2.208       36.517      334.969    36873.559
       2.409       66.058      370.234    36873.559
       2.609       64.392      375.680    36875.559
       2.810       64.392      386.207    36875.559
       3.011       56.100      395.469    36875.559
       3.211        9.950      395.727    36875.559
       3.413        0.000      395.727    36875.559
       3.614        0.417      395.727    36875.559
       3.815        0.000      395.727    36875.559
       4.016        0.000      395.727    36875.559
