# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       49.492      628.641
       0.201        0.000       49.492      628.641
       0.401        0.000       49.492      628.641
       0.602        0.000       49.492      628.641
       0.802        0.000       49.492      628.641
       1.003        2.075       52.164      919.656
       1.204       17.867       54.105      920.656
       1.404       19.117       55.371      920.656
       1.605       18.700       55.195      921.656
       1.805       19.117       54.867      920.656
       2.006       17.858       53.906      920.656
       2.207       18.692       54.160      920.656
       2.407       19.100       55.195      920.656
       2.608       19.117       55.852      921.656
       2.809       17.867       55.355      921.656
       3.009        4.567       54.566      920.656
       3.210        0.000       54.566      920.656
       3.412        0.000       54.566      920.656
       3.613        0.000       54.566      920.656
       3.814        0.000       54.566      920.656
