# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       51.285    33371.773
       0.201        0.000       51.285    33371.773
       0.402        0.000       51.285    33371.773
       0.603        0.000       51.285    33371.773
       0.804        0.000       51.285    33371.773
       1.005        1.658       54.590    33659.789
       1.205       19.125       58.480    33743.789
       1.405       19.542       57.703    33833.789
       1.606       19.533       58.078    33917.789
       1.807       11.625       58.668    33965.789
       2.007        1.242       58.379    33971.789
       2.209        0.000       58.379    33971.789
       2.409        0.000       58.379    33971.789
       2.610        0.000       58.379    33971.789
