# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       28.277      523.230
       0.201        0.000       28.277      523.230
       0.402        0.000       28.277      523.230
       0.603        0.000       28.277      523.230
       0.804        0.000       28.277      523.230
       1.005        5.392       33.941      733.238
       1.206       18.700       37.320      807.242
       1.406       18.700       36.160      805.242
       1.607       18.692       36.074      806.242
       1.808       18.275       36.453      805.242
       2.008        9.125       35.762      806.242
       2.210        0.000       35.762      806.242
       2.411        0.000       35.762      806.242
       2.612        0.000       35.762      806.242
       2.813        0.000       35.762      806.242
