# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.965    33274.848
       0.200        0.000       30.965    33274.848
       0.401        0.000       30.965    33274.848
       0.602        0.000       30.965    33274.848
       0.803        0.000       30.965    33274.848
       1.004        4.150       36.648    33497.855
       1.204       19.958       40.953    33571.855
       1.405       14.950       39.633    33694.859
       1.606        0.000       39.633    33694.859
       1.806        0.000       39.633    33694.859
       2.007        0.000       38.645    33694.859
       2.208        0.000       38.645    33694.859
