# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       49.645     2641.977
       0.200       29.517      176.418     3034.996
       0.401       35.325      295.246     3162.996
       0.601       36.992      339.195     3360.016
       0.802       36.992      367.141     3369.059
       1.002       26.608      377.266     3373.059
       1.203       27.850      383.871     3373.059
       1.403       22.458      393.020     3444.074
       1.604       29.925      398.074     3446.074
       1.804       20.367      402.250     3446.074
       2.005       28.267      407.445     3448.074
       2.205       23.275      414.844     3452.074
       2.406       23.692      419.062     3971.121
       2.606       21.200      425.492     4306.277
       2.807       36.583      429.398     4373.281
       3.007       20.367      432.789     4375.281
       3.208       18.700      436.398     4377.281
       3.408       19.117      439.449     4379.281
       3.609       15.375      443.406     4381.281
       3.809       13.300      446.746     4383.281
       4.010       16.625      448.875     4383.281
       4.210       19.950      451.422     4383.281
       4.411       21.617      452.660     4383.281
       4.611       19.950      454.164     4385.281
       4.812       19.942      455.363     4385.281
       5.012       22.442      456.297     4450.289
       5.213       18.708      457.184     4450.289
       5.413       19.117      458.102     4450.289
       5.614       13.292      459.527     5297.340
       5.814        0.000      459.527     5297.340
       6.015        0.000      459.527     5297.340
       6.216        0.000      459.527     5297.340
       6.416       16.625      462.043     5297.340
       6.617       22.025      462.441     5297.340
       6.817       19.950      463.430     5297.340
       7.018       20.367      464.676     5299.340
       7.218       19.133      466.324     5299.340
       7.419        0.000      466.324     5299.340
       7.620        0.417      466.324     5299.340
       7.821        0.000      466.359     5299.340
       8.022        0.000      466.359     5299.340
       8.223        6.233      466.359     5365.344
       8.423       48.625      468.664     5367.344
       8.624       59.408      472.523     5369.344
       8.824       52.775      474.660     5369.344
       9.026       56.200      476.145     5369.344
       9.226       54.833      477.371     5369.344
       9.427       60.250      481.090     5369.344
       9.627       59.075      482.527     5369.344
       9.828       56.108      484.355     5370.480
      10.035       55.483      485.605     5370.480
      10.237       54.108      486.984     5372.480
      10.437       45.708      488.621     5373.344
      10.638       49.858      488.648     5373.344
      10.839       35.317      488.680     5373.344
      11.039        2.075      488.680     5373.344
      11.240        0.000      488.680     5373.344
      11.441        0.000      488.680     5373.344
      11.642        0.000      488.680     5373.344
