# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      111.656      570.477
       0.201        7.058      131.699     1867.664
       0.401        0.000      131.699     1867.664
       0.602        0.000      131.699     1867.664
       0.804        0.000      131.699     1867.664
       1.005        0.000      131.699     1867.664
       1.206        3.317      131.926     1872.664
       1.406       21.183      133.438     1871.664
       1.607       21.175      134.613     1875.664
       1.808       19.117      135.918     1874.664
       2.008       21.192      132.066     1871.664
       2.209       22.017      134.863     1871.664
       2.409       20.358      135.480     1875.664
       2.610       19.525      131.918     1867.664
       2.810       21.175      132.363     1871.664
       3.011       14.517      133.203     1870.664
       3.212        0.000      133.203     1872.664
       3.413        0.000      133.203     1872.664
       3.615        0.000      133.203     1872.664
       3.816        0.000      133.203     1872.664
