# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       58.680     1356.977
       0.201        0.000       58.680     1356.977
       0.402        0.000       58.680     1356.977
       0.603        0.000       58.680     1356.977
       0.804        0.000       58.680     1356.977
       1.005        0.417       58.711     1358.977
       1.206       25.317       66.891     1363.977
       1.407       24.933       64.953     1362.977
       1.607       24.933       65.418     1363.977
       1.808        4.150       63.324     1357.977
       2.009        0.000       63.328     1359.977
       2.210        0.000       63.328     1359.977
       2.411        0.000       63.328     1359.977
       2.612        0.000       63.328     1359.977
