# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       51.438     2641.977
       0.201       25.350      153.578     3019.996
       0.401       37.000      280.750     3357.016
       0.602       40.317      327.543     3367.059
       0.802       30.342      359.125     3372.059
       1.003       34.075      369.656     3374.059
       1.203       22.858      377.816     3442.074
       1.404       26.183      389.648     3448.074
       1.604       29.508      397.734     3905.113
       1.805       12.450      400.695     4752.176
       2.006        0.825      400.945     4752.176
       2.207        8.292      405.473     4754.176
       2.408        0.000      405.473     4754.176
       2.609        0.000      405.473     4754.176
       2.810        0.000      405.473     4754.176
       3.011        0.000      405.473     4754.176
       3.212       19.917      406.227     4754.176
       3.413       65.233      410.359     4756.176
       3.613       61.900      414.078     4756.176
       3.814       61.067      421.750     4756.176
       4.014       61.067      423.848     4756.176
       4.215       57.258      425.070     4756.176
       4.416       15.367      425.324     4756.176
       4.616        0.000      425.324     4756.176
       4.818        0.000      425.324     4756.176
       5.019        0.000      425.324     4756.176
       5.220        0.000      425.324     4756.176
