# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       52.133    35424.387
       0.200       26.183      144.152    35686.406
       0.401       34.500      272.742    35881.426
       0.601       35.333      299.965    35891.469
       0.802       27.433      351.047    35893.469
       1.002       34.933      370.109    35895.469
       1.203       20.367      383.973    35963.484
       1.403       29.517      395.145    35967.484
       1.604       32.008      407.945    36423.523
       1.804       22.425      412.598    37270.586
       2.005        0.000      412.598    37270.586
       2.206        7.883      415.875    37272.586
       2.407        0.000      415.875    37272.586
       2.608        0.000      415.875    37272.586
       2.809        0.000      415.875    37272.586
       3.010        0.000      415.875    37272.586
       3.211       20.767      419.258    37272.586
       3.412       63.158      424.102    37274.586
       3.612       64.383      428.441    37274.586
       3.813       63.558      435.379    37274.586
       4.013       62.742      437.398    37274.586
       4.214       39.050      438.070    37274.586
       4.415        0.000      438.070    37274.586
       4.616        0.000      438.070    37274.586
       4.817        0.000      438.070    37274.586
       5.018        0.000      438.070    37274.586
